Subsector,simulation,Edgar_value,diff,Year
agrc,42.951414445184184,1.13413896,36.87138609997507,2015
entc,23.93301793304739,3.312946055,6.224089235297671,2015
fgtv,2.4417889689517613,2.441121387,0.0002734734762951877,2015
frst,1.631340702220833,-6.547103826,-1.2491698231120787,2015
inen,1.404044759623524,2.1573401229999996,-0.3491778395744767,2015
ippu,13.017387847538602,3.8832173619999995,2.352217152437269,2015
lndu,0.7143260588751346,0.060839526,10.74115095629007,2015
lsmm,0.4185485639856198,1.793108218,-0.7665793063775809,2015
lvst,1.8384384253090402,1.682915592,0.09241273540297686,2015
scoe,10.893630970586237,3.24769707,2.354263262794469,2015
soil,6.874864338359596,0.092259474,73.51662187408088,2015
trns,22.04373738923857,5.9581787,2.699744250577541,2015
trww,0.5825184842255243,0.503173252,0.15768968622665255,2015
waso,0.7302083063766734,1.2586895035999999,-0.4198662145920881,2015
